County,Stevenson,%,Johnson,%,Peddy,%,Myers,%,Clark,%,Collier,%,Davis,%,Cortez,%,Saunders,%,Sledge,%,Alford,%,Total,Winner
Mason,1146,65.45%,510,29.13%,60,3.43%,1,0.06%,4,0.23%,13,0.74%,7,0.40%,3,0.17%,4,0.23%,0,0.00%,3,0.17%,1751,1
Matagorda,721,42.16%,336,19.65%,559,32.69%,17,0.99%,28,1.64%,5,0.29%,16,0.94%,7,0.41%,0,0.00%,5,0.29%,16,0.94%,1710,1
Maverick,336,34.64%,388,40.00%,86,8.87%,24,2.47%,7,0.72%,3,0.31%,5,0.52%,96,9.90%,1,0.10%,4,0.41%,20,2.06%,970,2
McCulloch,1324,36.96%,1957,54.63%,219,6.11%,21,0.59%,17,0.47%,9,0.25%,7,0.20%,13,0.36%,8,0.22%,1,0.03%,6,0.17%,3582,2
McLennan,7371,35.37%,8760,42.04%,3532,16.95%,192,0.92%,129,0.62%,193,0.93%,288,1.38%,117,0.56%,108,0.52%,50,0.24%,98,0.47%,20838,2
McMullen,158,45.80%,135,39.13%,38,11.01%,6,1.74%,2,0.58%,0,0.00%,3,0.87%,1,0.29%,1,0.29%,0,0.00%,1,0.29%,345,1
Medina,820,44.66%,548,29.85%,333,18.14%,10,0.54%,7,0.38%,8,0.44%,11,0.60%,51,2.78%,10,0.54%,16,0.87%,22,1.20%,1836,1
Menard,790,53.06%,518,34.79%,92,6.18%,14,0.94%,5,0.34%,21,1.41%,13,0.87%,12,0.81%,5,0.34%,3,0.20%,16,1.07%,1489,1
Midland,1837,50.47%,921,25.30%,636,17.47%,25,0.69%,16,0.44%,27,0.74%,51,1.40%,20,0.55%,9,0.25%,19,0.52%,79,2.17%,3640,1
Milam,2210,40.31%,1689,30.80%,1136,20.72%,31,0.57%,110,2.01%,17,0.31%,56,1.02%,81,1.48%,59,1.08%,51,0.93%,43,0.78%,5483,1
Mills,711,37.32%,794,41.68%,275,14.44%,34,1.78%,20,1.05%,18,0.94%,18,0.94%,24,1.26%,2,0.10%,2,0.10%,7,0.37%,1905,2
Mitchell,1282,50.25%,830,32.54%,316,12.39%,7,0.27%,15,0.59%,64,2.51%,22,0.86%,5,0.20%,0,0.00%,4,0.16%,6,0.24%,2551,1
Montague,1494,37.86%,1586,40.19%,621,15.74%,81,2.05%,17,0.43%,38,0.96%,40,1.01%,5,0.13%,19,0.48%,19,0.48%,26,0.66%,3946,2
Montgomery,1786,34.66%,694,13.47%,2227,43.22%,44,0.85%,27,0.52%,71,1.38%,114,2.21%,17,0.33%,37,0.72%,45,0.87%,91,1.77%,5153,3
Moore,1244,61.28%,461,22.71%,84,4.14%,48,2.36%,17,0.84%,23,1.13%,19,0.94%,9,0.44%,14,0.69%,96,4.73%,15,0.74%,2030,1
Morris,656,32.33%,666,32.82%,588,28.98%,39,1.92%,8,0.39%,13,0.64%,19,0.94%,3,0.15%,4,0.20%,4,0.20%,29,1.43%,2029,2
Motley,597,60.79%,271,27.60%,82,8.35%,3,0.31%,5,0.51%,5,0.51%,7,0.71%,1,0.10%,5,0.51%,2,0.20%,4,0.41%,982,1
Nacogdoches,2090,29.93%,929,13.31%,3494,50.04%,129,1.85%,19,0.27%,37,0.53%,42,0.60%,14,0.20%,57,0.82%,14,0.20%,157,2.25%,6982,3
Navarro,3420,45.86%,2013,26.99%,1609,21.57%,59,0.79%,33,0.44%,47,0.63%,107,1.43%,10,0.13%,39,0.52%,63,0.84%,58,0.78%,7458,1
Newton,692,36.93%,273,14.57%,627,33.46%,34,1.81%,22,1.17%,24,1.28%,70,3.74%,10,0.53%,75,4.00%,21,1.12%,26,1.39%,1874,1
Nolan,1658,38.18%,1686,38.82%,466,10.73%,121,2.79%,36,0.83%,195,4.49%,86,1.98%,9,0.21%,21,0.48%,14,0.32%,51,1.17%,4343,2
Nueces,4745,27.57%,8428,48.97%,2677,15.56%,170,0.99%,61,0.35%,112,0.65%,54,0.31%,846,4.92%,33,0.19%,36,0.21%,47,0.27%,17209,2
Ochiltree,809,62.62%,268,20.74%,138,10.68%,43,3.33%,8,0.62%,8,0.62%,8,0.62%,0,0.00%,6,0.46%,1,0.08%,3,0.23%,1292,1
Oldham,220,42.97%,246,48.05%,35,6.84%,3,0.59%,0,0.00%,2,0.39%,1,0.20%,0,0.00%,3,0.59%,1,0.20%,1,0.20%,512,2
Orange,3313,44.18%,1052,14.03%,1788,23.84%,136,1.81%,24,0.32%,105,1.40%,53,0.71%,28,0.37%,955,12.74%,19,0.25%,26,0.35%,7499,1
Palo Pinto,1356,44.23%,802,26.16%,683,22.28%,42,1.37%,40,1.30%,34,1.11%,35,1.14%,6,0.20%,44,1.44%,12,0.39%,12,0.39%,3066,1
Panola,739,15.08%,914,18.65%,2969,60.59%,91,1.86%,19,0.39%,22,0.45%,40,0.82%,9,0.18%,31,0.63%,27,0.55%,39,0.80%,4900,3
Parker,1854,45.95%,1223,30.31%,663,16.43%,68,1.69%,71,1.76%,35,0.87%,56,1.39%,4,0.10%,22,0.55%,22,0.55%,17,0.42%,4035,1
Parmer,782,56.75%,325,23.58%,173,12.55%,29,2.10%,5,0.36%,27,1.96%,16,1.16%,3,0.22%,5,0.36%,1,0.07%,12,0.87%,1378,1
Pecos,1289,55.23%,681,29.18%,112,4.80%,58,2.49%,17,0.73%,8,0.34%,23,0.99%,98,4.20%,8,0.34%,5,0.21%,35,1.50%,2334,1
Polk,1281,39.43%,645,19.85%,1038,31.95%,68,2.09%,29,0.89%,22,0.68%,28,0.86%,5,0.15%,39,1.20%,3,0.09%,91,2.80%,3249,1
Potter,6604,58.29%,3290,29.04%,987,8.71%,33,0.29%,29,0.26%,67,0.59%,170,1.50%,22,0.19%,56,0.49%,39,0.34%,33,0.29%,11330,1
Presidio,550,46.85%,280,23.85%,69,5.88%,8,0.68%,8,0.68%,8,0.68%,9,0.77%,215,18.31%,9,0.77%,3,0.26%,15,1.28%,1174,1
Rains,453,32.61%,480,34.56%,350,25.20%,17,1.22%,9,0.65%,17,1.22%,20,1.44%,11,0.79%,21,1.51%,2,0.14%,9,0.65%,1389,2
Randall,1697,60.05%,789,27.92%,255,9.02%,6,0.21%,6,0.21%,19,0.67%,38,1.34%,1,0.04%,9,0.32%,1,0.04%,5,0.18%,2826,1
Reagan,228,51.12%,165,37.00%,34,7.62%,5,1.12%,1,0.22%,1,0.22%,2,0.45%,0,0.00%,0,0.00%,3,0.67%,7,1.57%,446,1
Real,394,54.65%,242,33.56%,53,7.35%,9,1.25%,1,0.14%,6,0.83%,6,0.83%,4,0.55%,3,0.42%,1,0.14%,2,0.28%,721,1
Red River,2326,44.02%,1374,26.00%,1161,21.97%,43,0.81%,79,1.50%,53,1.00%,72,1.36%,68,1.29%,24,0.45%,18,0.34%,66,1.25%,5284,1
Reeves,914,50.41%,500,27.58%,188,10.37%,52,2.87%,16,0.88%,30,1.65%,21,1.16%,55,3.03%,10,0.55%,10,0.55%,17,0.94%,1813,1
Refugio,190,34.05%,175,31.36%,184,32.97%,2,0.36%,0,0.00%,0,0.00%,1,0.18%,0,0.00%,0,0.00%,3,0.54%,3,0.54%,558,1
Roberts,351,79.05%,38,8.56%,40,9.01%,5,1.13%,1,0.23%,1,0.23%,4,0.90%,0,0.00%,2,0.45%,0,0.00%,2,0.45%,444,1
Robertson,1242,31.92%,1104,28.37%,1133,29.12%,91,2.34%,113,2.90%,41,1.05%,49,1.26%,16,0.41%,19,0.49%,20,0.51%,63,1.62%,3891,1
Rockwall,867,43.01%,567,28.13%,440,21.83%,47,2.33%,9,0.45%,30,1.49%,31,1.54%,3,0.15%,2,0.10%,10,0.50%,10,0.50%,2016,1
Runnels,1980,45.75%,1638,37.85%,518,11.97%,46,1.06%,14,0.32%,15,0.35%,47,1.09%,7,0.16%,35,0.81%,7,0.16%,21,0.49%,4328,1
Rusk,5488,53.38%,1733,16.86%,2347,22.83%,230,2.24%,71,0.69%,71,0.69%,72,0.70%,18,0.18%,45,0.44%,32,0.31%,174,1.69%,10281,1
Sabine,532,22.34%,370,15.54%,1315,55.23%,23,0.97%,13,0.55%,19,0.80%,15,0.63%,22,0.92%,44,1.85%,2,0.08%,26,1.09%,2381,3
San Augustine,635,26.14%,543,22.35%,1063,43.76%,27,1.11%,20,0.82%,0,0.00%,25,1.03%,16,0.66%,75,3.09%,1,0.04%,24,0.99%,2429,3
San Jacinto,329,30.92%,209,19.64%,412,38.72%,33,3.10%,15,1.41%,10,0.94%,11,1.03%,2,0.19%,7,0.66%,2,0.19%,34,3.20%,1064,3
San Patricio,1333,31.13%,2047,47.80%,623,14.55%,27,0.63%,17,0.40%,46,1.07%,12,0.28%,124,2.90%,9,0.21%,11,0.26%,33,0.77%,4282,2
San Saba,892,34.94%,1222,47.87%,357,13.98%,21,0.82%,6,0.24%,15,0.59%,9,0.35%,3,0.12%,4,0.16%,8,0.31%,16,0.63%,2553,2
Schleicher,333,46.12%,304,42.11%,68,9.42%,7,0.97%,0,0.00%,0,0.00%,8,1.11%,0,0.00%,0,0.00%,0,0.00%,2,0.28%,722,1
Scurry,1061,41.28%,798,31.05%,505,19.65%,80,3.11%,19,0.74%,28,1.09%,25,0.97%,3,0.12%,10,0.39%,4,0.16%,37,1.44%,2570,1
Shackelford,694,52.54%,375,28.39%,200,15.14%,11,0.83%,5,0.38%,16,1.21%,12,0.91%,2,0.15%,4,0.30%,1,0.08%,1,0.08%,1321,1
Shelby,558,10.24%,357,6.55%,4238,77.75%,66,1.21%,18,0.33%,22,0.40%,29,0.53%,9,0.17%,54,0.99%,23,0.42%,77,1.41%,5451,3
Sherman,409,66.40%,135,21.92%,29,4.71%,19,3.08%,4,0.65%,6,0.97%,5,0.81%,1,0.16%,4,0.65%,0,0.00%,4,0.65%,616,1
Smith,4919,41.87%,3634,30.93%,2864,24.38%,37,0.31%,32,0.27%,85,0.72%,91,0.77%,18,0.15%,19,0.16%,19,0.16%,31,0.26%,11749,1
Somervell,366,42.51%,190,22.07%,232,26.95%,35,4.07%,9,1.05%,9,1.05%,10,1.16%,1,0.12%,2,0.23%,1,0.12%,6,0.70%,861,1
Starr,93,3.19%,2571,88.11%,115,3.94%,33,1.13%,10,0.34%,5,0.17%,4,0.14%,65,2.23%,1,0.03%,1,0.03%,20,0.69%,2918,2
Stephens,1402,43.34%,1105,34.16%,457,14.13%,32,0.99%,20,0.62%,67,2.07%,59,1.82%,17,0.53%,20,0.62%,23,0.71%,33,1.02%,3235,1
Sterling,126,44.21%,138,48.42%,16,5.61%,0,0.00%,0,0.00%,1,0.35%,3,1.05%,0,0.00%,1,0.35%,0,0.00%,0,0.00%,285,2
Stonewall,365,30.93%,558,47.29%,99,8.39%,29,2.46%,14,1.19%,17,1.44%,5,0.42%,10,0.85%,74,6.27%,1,0.08%,8,0.68%,1180,2
Sutton,364,64.31%,134,23.67%,33,5.83%,0,0.00%,0,0.00%,2,0.35%,0,0.00%,32,5.65%,1,0.18%,0,0.00%,0,0.00%,566,1
Swisher,1043,56.20%,500,26.94%,220,11.85%,43,2.32%,8,0.43%,6,0.32%,9,0.48%,2,0.11%,5,0.27%,4,0.22%,16,0.86%,1856,1
Tarrant,23063,46.36%,16873,33.91%,6957,13.98%,1233,2.48%,278,0.56%,428,0.86%,350,0.70%,84,0.17%,140,0.28%,108,0.22%,237,0.48%,49751,1
Taylor,3505,36.37%,5115,53.07%,786,8.16%,26,0.27%,42,0.44%,35,0.36%,50,0.52%,26,0.27%,13,0.13%,20,0.21%,20,0.21%,9638,2
Terrell,304,48.72%,104,16.67%,135,21.63%,13,2.08%,5,0.80%,10,1.60%,8,1.28%,36,5.77%,8,1.28%,0,0.00%,1,0.16%,624,1
Terry,781,35.74%,1091,49.93%,214,9.79%,28,1.28%,13,0.59%,8,0.37%,25,1.14%,2,0.09%,5,0.23%,4,0.18%,14,0.64%,2185,2
Throckmorton,398,31.71%,590,47.01%,206,16.41%,14,1.12%,3,0.24%,12,0.96%,14,1.12%,3,0.24%,3,0.24%,7,0.56%,5,0.40%,1255,2
Titus,1598,40.10%,1250,31.37%,804,20.18%,91,2.28%,27,0.68%,53,1.33%,88,2.21%,7,0.18%,19,0.48%,8,0.20%,40,1.00%,3985,1
Tom Green,4063,46.92%,3666,42.33%,672,7.76%,35,0.40%,37,0.43%,18,0.21%,45,0.52%,52,0.60%,11,0.13%,51,0.59%,10,0.12%,8660,1
Travis,7298,26.00%,17477,62.28%,2839,10.12%,35,0.12%,59,0.21%,94,0.33%,34,0.12%,79,0.28%,35,0.12%,59,0.21%,55,0.20%,28064,2
Trinity,1025,43.99%,373,16.01%,787,33.78%,10,0.43%,25,1.07%,23,0.99%,17,0.73%,14,0.60%,15,0.64%,6,0.26%,35,1.50%,2330,1
Tyler,801,37.12%,425,19.69%,780,36.14%,29,1.34%,17,0.79%,35,1.62%,10,0.46%,3,0.14%,42,1.95%,4,0.19%,12,0.56%,2158,1
Upshur,1623,32.95%,1815,36.85%,1075,21.83%,145,2.94%,31,0.63%,43,0.87%,49,0.99%,13,0.26%,31,0.63%,17,0.35%,83,1.69%,4925,2
Upton,582,51.37%,406,35.83%,65,5.74%,33,2.91%,8,0.71%,8,0.71%,3,0.26%,2,0.18%,2,0.18%,3,0.26%,21,1.85%,1133,1
Uvalde,1729,60.29%,708,24.69%,295,10.29%,16,0.56%,3,0.10%,11,0.38%,11,0.38%,58,2.02%,10,0.35%,19,0.66%,8,0.28%,2868,1
Val Verde,1011,54.38%,462,24.85%,117,6.29%,8,0.43%,8,0.43%,8,0.43%,16,0.86%,203,10.92%,4,0.22%,5,0.27%,17,0.91%,1859,1
Van Zandt,1483,25.45%,2183,37.46%,1832,31.43%,45,0.77%,30,0.51%,74,1.27%,122,2.09%,7,0.12%,23,0.39%,12,0.21%,17,0.29%,5828,2
Victoria,929,48.04%,504,26.06%,437,22.60%,5,0.26%,8,0.41%,0,0.00%,10,0.52%,33,1.71%,3,0.16%,0,0.00%,5,0.26%,1934,1
Walker,1330,40.55%,921,28.08%,911,27.77%,14,0.43%,12,0.37%,15,0.46%,20,0.61%,10,0.30%,14,0.43%,11,0.34%,22,0.67%,3280,1
Waller,503,27.81%,365,20.18%,844,46.66%,2,0.11%,14,0.77%,13,0.72%,3,0.17%,5,0.28%,17,0.94%,10,0.55%,33,1.82%,1809,3
Ward,1403,53.08%,779,29.47%,222,8.40%,80,3.03%,28,1.06%,34,1.29%,33,1.25%,10,0.38%,14,0.53%,9,0.34%,31,1.17%,2643,1
Washington,1768,35.31%,2545,50.83%,651,13.00%,5,0.10%,6,0.12%,6,0.12%,13,0.26%,0,0.00%,3,0.06%,3,0.06%,7,0.14%,5007,2
Webb,531,7.45%,6476,90.89%,61,0.86%,1,0.01%,8,0.11%,6,0.08%,6,0.08%,25,0.35%,5,0.07%,4,0.06%,2,0.03%,7125,2
Wharton,1519,34.66%,1430,32.63%,1202,27.42%,44,1.00%,46,1.05%,11,0.25%,18,0.41%,13,0.30%,12,0.27%,37,0.84%,51,1.16%,4383,1
Wheeler,1067,50.57%,600,28.44%,280,13.27%,21,1.00%,9,0.43%,32,1.52%,68,3.22%,3,0.14%,9,0.43%,10,0.47%,11,0.52%,2110,1
Wichita,4846,36.13%,7326,54.63%,1191,8.88%,2,0.01%,9,0.07%,3,0.02%,12,0.09%,16,0.12%,5,0.04%,1,0.01%,0,0.00%,13411,2
Wilbarger,1758,46.45%,1203,31.78%,450,11.89%,92,2.43%,14,0.37%,183,4.83%,45,1.19%,5,0.13%,9,0.24%,7,0.18%,19,0.50%,3785,1
Willacy,1048,39.49%,758,28.56%,443,16.69%,71,2.68%,20,0.75%,22,0.83%,24,0.90%,205,7.72%,15,0.57%,8,0.30%,40,1.51%,2654,1
Williamson,1822,25.36%,4828,67.20%,406,5.65%,34,0.47%,13,0.18%,12,0.17%,13,0.18%,5,0.07%,17,0.24%,11,0.15%,24,0.33%,7185,2
Wilson,1515,39.29%,1835,47.59%,310,8.04%,7,0.18%,47,1.22%,6,0.16%,17,0.44%,105,2.72%,5,0.13%,4,0.10%,5,0.13%,3856,2
Winkler,1253,56.19%,617,27.67%,187,8.39%,29,1.30%,15,0.67%,32,1.43%,28,1.26%,3,0.13%,12,0.54%,19,0.85%,35,1.57%,2230,1
Wise,1359,34.70%,1375,35.11%,1019,26.02%,14,0.36%,13,0.33%,47,1.20%,37,0.94%,2,0.05%,14,0.36%,5,0.13%,31,0.79%,3916,2
Wood,1973,39.96%,1603,32.46%,1104,22.36%,23,0.47%,18,0.36%,74,1.50%,56,1.13%,14,0.28%,25,0.51%,29,0.59%,19,0.38%,4938,1
Yoakum,566,49.05%,387,33.54%,75,6.50%,39,3.38%,11,0.95%,23,1.99%,18,1.56%,3,0.26%,8,0.69%,6,0.52%,18,1.56%,1154,1
Young,1308,33.23%,1953,49.62%,487,12.37%,53,1.35%,29,0.74%,36,0.91%,28,0.71%,4,0.10%,7,0.18%,11,0.28%,20,0.51%,3936,2
Zapata,28,4.44%,580,91.92%,5,0.79%,0,0.00%,10,1.58%,0,0.00%,0,0.00%,8,1.27%,0,0.00%,0,0.00%,0,0.00%,631,2
Zavala,478,38.61%,492,39.74%,151,12.20%,22,1.78%,9,0.73%,1,0.08%,6,0.48%,45,3.63%,6,0.48%,15,1.21%,13,1.05%,1238,2
Total,477075,39.68%,405617,33.73%,237195,19.73%,15327,1.27%,7420,0.62%,12327,1.03%,10874,0.90%,13334,1.11%,7396,0.62%,6691,0.56%,9116,0.76%,1202372,
